year,reimb_ceiling_quarterly,market_price_monthly_low,market_price_monthly_mid,market_price_monthly_high,burden_ratio_low,burden_ratio_mid,burden_ratio_high,coverage_ratio_low,coverage_ratio_mid,coverage_ratio_high,t1d_patient_count,national_diabetes_patients,consumables_transactions_annual,consumables_payment_annual_won,cgm_users,t1d_registered,t2d_registered,adoption_rate_registered,adoption_rate_total,eligible_19plus,eligible_15plus,generated_at
2018,,155000,200000,280000,,,,,,,,,,,,,,,,,,2026-03-12
2019,,155000,200000,280000,,,,,,,,,,,,26131,309097,,,,,2026-03-12
2020,,155000,200000,280000,,,,,,,,,,,2528,28325,360287,0.08924977934686673,,,,2026-03-12
2021,,155000,200000,280000,,,,,,,15.0,,300823,31109593360,7912,31508,412742,0.2511108289958106,527.4666666666667,,,2026-03-12
2022,210000.0,155000,200000,280000,0.6838709677419355,0.755,0.825,0.3161290322580645,0.245,0.175,45023.0,3846140.0,,,10188,34580,463921,0.2946211683053788,0.22628434355773716,,,2026-03-12
2023,210000.0,155000,200000,280000,0.6838709677419355,0.755,0.825,0.3161290322580645,0.245,0.175,,3932603.0,,,12928,37740,515188,0.34255431902490724,,,,2026-03-12
2024,210000.0,155000,200000,280000,0.6838709677419355,0.755,0.825,0.3161290322580645,0.245,0.175,,,,,16214,,,,,,,2026-03-12
2025,210000.0,155000,200000,280000,0.6838709677419355,0.755,0.825,0.3161290322580645,0.245,0.175,,,,,,,,,,,,2026-03-12
2026,210000.0,155000,200000,280000,0.6838709677419355,0.755,0.825,0.3161290322580645,0.245,0.175,,,,,,,,,,,,2026-03-12
2027,210000.0,155000,200000,280000,0.6838709677419355,0.755,0.825,0.3161290322580645,0.245,0.175,,,,,,,,,,,,2026-03-12
2028,210000.0,155000,200000,280000,0.6838709677419355,0.755,0.825,0.3161290322580645,0.245,0.175,,,,,,,,,,,,2026-03-12
2029,210000.0,155000,200000,280000,0.6838709677419355,0.755,0.825,0.3161290322580645,0.245,0.175,,,,,,,,,,,,2026-03-12
2030,210000.0,155000,200000,280000,0.6838709677419355,0.755,0.825,0.3161290322580645,0.245,0.175,,,,,,,,,,,,2026-03-12
